school,state,region,year,confidence,flags,applied,admitted,admit_rate,enrolled_ft_freshmen,sat_25,sat_75,act_25,act_75,avg_gpa,pct_top_10,test_policy,tuition_in,tuition_out,coa_in,coa_out,n_with_need,n_no_need,n_no_need_merit,pct_no_need_merit,avg_merit,price_after_merit,n_athletic,avg_athletic,pct_need_fully_met,avg_pct_need_met,avg_need_based_award,notes
University of Texas at Dallas,TX,Southwest,2023-24,medium,merit_rate_clamped_denominator_approx,29366,19224,0.6546,2212,1180,1400,25,32,,41,Required to be considered for admission,14644,40144,29210,54710,1863,349,842,1.0,11375,43335,,,16.6,67,15827,"Verified against source: B1/C1 confirm 2,212 full-time first-time freshmen enrolled; H2A freshman column (n=842, avg=$11,375) and H2 need count (1,863) are correctly pulled from the freshmen column, not all-undergrads. However the source's own H2 line A for the freshmen column reports 3,933, inconsistent with B1's 2,212 -- this is an internal inconsistency in the CDS filing itself (likely includes non-first-time freshmen or a broader cohort), not an extraction error; as instructed we kept the H2/H2A table's own column values. Athletic non-need aid (H2A rows P/Q) was left completely blank in the source (not reported), so set to null rather than 0."
University of Utah,UT,West,2023-24,medium,coa_from_ipeds,22996,20046,0.8717,5371,1190,1380,22,29,3.68,,test-optional,,,30613,51135,2316,3055,1253,0.4101,7079,44056,68,29202,16.8,65,12926,"Cost of attendance data marked as not currently available for 2024-2025; using cost fields as null. Test policy is test-optional except for home-schooled, GED, or unaccredited HS students. Percent in top 10th of class not reported in CDS. Class rank not submitted by 0% of students."
University of Vermont,VT,Northeast,2023-24,high,merit_rate_clamped_denominator_approx,28236,16947,0.6002,2881,1270,1410,29,32,3.85,41.38,If sent and requested to be considered by student,19058,45502,32834,59278,1636,1245,1340,1.0,16981,42297,49,31635,23.35,75.2,21425,"Verified against source: H2A freshman-column values (n_no_need_merit=1340, n_athletic=49) were already correct, not pulled from the all-undergrad column. The apparent inconsistency vs. enrolled_ft_freshmen (2881, from B1/C1) arises because CDS Item H2 line A reports a slightly different first-time full-time freshmen aid cohort (2989) than the B1/C1 census cohort (2881); against H2's own cohort, 2989-1636=1353 >= 1340, so the merit figures are internally consistent. Filled in previously-missing COA totals from G1 tuition+fees+housing+food."
University of Virginia Main Campus,VA,Southeast,2023-24,high,,56528,9533,0.1686,3965,1410,1510,32,34,3.95,85,"Not required for admission, but considered for some",21803,58831,36603,73631,1454,2511,76,0.0303,4651,68980,98,34021,100,100,35011,All key fields found cleanly. Data for 2023-24 academic year. Institution is public; in-state and out-of-state tuition reported separately. Need-based aid data shows 100% of need met for all students with need. Merit aid includes both non-need institutional scholarships and athletic awards.
University of Washington - Seattle Campus,WA,West,2023-24,high,,62428,26552,0.4253,6918,1280,1490,30,34,3.84,,Test optional,12643,41997,30625,59979,2701,4217,850,0.2016,4179,55800,64,40785,27.38,75,17828,Data extracted cleanly from 2023-24 CDS. Test policy is test-optional (test scores not used in admissions). Financial aid data reported for 2022-2023 final academic year cohort in H1/H2/H2A sections.
University of Wisconsin--Madison,WI,Midwest,2023-24,medium,coa_from_ipeds,63537,27527,0.4332,7937,1370,1490,28,32,3.9,52.4,Optional,,,28905,58303,2978,4959,376,0.0758,8336,49967,82,36761,56.9,81.9,20064,"Cost of attendance data (G1) marked as not currently available for 2024-2025; using this file's 2023-2024 estimated financial aid data. Test policy is test-optional. All tuition, food/housing, and total COA fields set to null due to missing cost data in the CDS document."
Ursinus College,PA,Northeast,2021-22,high,,3818,3158,0.8271,433,1200,1350,27,32,3.53,29.17,SAT or ACT recommended and considered if submitted; required for homeschooled and international applicants,58016,58016,75962,75962,334,99,99,1.0,33247.47,42714.53,0,,29.94,82.7,39018,"All key fields found cleanly from CDS H2A sections. Private institution with same tuition for in-state and out-of-state. Athletic aid shows 0 recipients, consistent with the non-need-based merit data."
Vanderbilt University,TN,Southeast,2023-24,high,,45313,2844,0.0628,1619,1500,1560,34,35,3.9,92.5,"Not required for admission, but considered for some",68616,68616,90670,90670,889,730,123,0.1685,27995,62675,53,72465,100,100,71291,"All key sections found. Private institution, so in-state and out-of-state tuition+fees are identical. H2A section clearly identifies merit aid for students with no need (line N = 123 students, avg $27,995) and athletic awards (line P = 53 students, avg $72,465)."
Vassar College,NY,Northeast,2023-24,high,,12145,2153,0.1773,689,1450,1530,33,35,,79,"Not required for admission, but considered if submitted",71030,71030,89270,89270,359,330,0,,0,,0,0,99,100,67534,All key fields found cleanly. No merit aid reported (0 students awarded non-need-based aid). Test-optional policy (test scores submitted by only 26% of applicants). Vassar has need-blind admissions for both U.S. citizens and international students; reports institutional methodology for need analysis.
Villanova University,PA,Northeast,2022-23,high,,23834,5576,0.234,1763,1390,1480,32,34,3.89,70,required,64962,64962,81858,81858,803,960,69,0.0719,29982,51876,53,34831,19,80.4,40829,"All key fields found cleanly from CDS sections B1, C1, C9-C12, G1, H2, and H2A. Private institution so in-state and out-of-state tuition are the same."
Virginia Commonwealth University,VA,Southeast,2023-24,high,coa_from_ipeds,19289,17886,0.9273,4561,1040,1260,22,30,3.7,2.0,required for some,,,39967,62551,2692,1869,907,0.4853,6176,56375,30,31552,9.62,66.4,15701,"Cost of attendance data not available at time of CDS filing (projected 5/31/2024). Test policy is 'required for some' with test-optional provisions for some freshman who meet specific criteria (line 445-446). Full-time first-time freshmen enrollment figure includes 4,561 full-time and 40 part-time per C1."
Virginia Polytechnic Institute and State University,VA,Southeast,2023-24,high,,47207,26923,0.5703,7180,1240,1420,27,32,4.06,,"Not required for admission, but considered if submitted",15948,37158,32498,53708,3119,4061,889,0.2189,3282.99,50425.01,99,30350.74,13.95,56.19,7646.59,"All key fields found cleanly. SAT composite calculated from EBRW and Math percentiles (620+620=1240 for 25th, 700+720=1420 for 75th). Percent in top 10th of HS class marked confidential in source. Total cost of attendance calculated by summing tuition+fees+housing+food components."
Wake Forest University,NC,Southeast,2023-24,high,,7864,1751,0.2227,1385,1410,1500,32,34,3.74,67,optional,67642,67642,91646,91646,381,1004,24,0.0239,22262,69384,6,29077,86.32,97.4,70642,Private institution. SAT composite scores reported directly. ACT composite reported. All cost data reflect private institution structure (same in-state and out-of-state tuition). H2A data clearly shows merit aid for non-need-based students and athletic awards separately.
Washington and Lee University,VA,Southeast,2023-24,high,,6820,1184,0.1736,502,1410,1530,32,35,,81.4,Test optional for admission but considered for some applicants,64525,64525,82210,82210,277,225,21,0.0933,60422,21788,0,0,100.0,100.0,64770,"All key financial aid fields found clearly. Private institution, so in-state and out-of-state tuition are the same. Need-based aid meets 100% of demonstrated need for all students awarded aid. Athletic awards reported as $0."
Wellesley College,MA,Northeast,2023-24,high,,8184,1138,0.1391,573,1460,1540,33,35,,90.5,"Not required for admission, but considered for some",67176,67176,88200,88200,318,255,0,,0,,0,0,100,100,64862,"Complete and clean extraction. Wellesley is a private women's college with firm cost data provided. Food and housing calculated as sum of separate room ($10,904) and meal plan ($10,120)."
Wesleyan University,CT,Northeast,2023-24,high,,14500,2479,0.171,782,1300,1500,31,34,,76.7,"Not required for admission, but considered for some",69652,69652,92274,92274,328,454,2,0.0044,19948,72326,0,,100,100,70400,"All key financial aid and admissions metrics found cleanly. CDS clearly reports H2A merit and athletic aid for first-time first-year students. Institution is private nonprofit, so in-state and out-of-state tuition are identical."
Wheaton College (IL),IL,Midwest,2022-23,low,coa_from_ipeds,,,,,,,,,,,,,,59670,59670,,,,,,,,,,,,"CDS file contains template/blank form structure without filled-in institutional data. No actual admission numbers, financial aid amounts, or cost information found in the document."
Wheaton College (MA),MA,Northeast,2020-21,high,,3580,2760,0.7709,458,1180,1340,25,31,3.48,30.63,Test Optional,58180,58180,72850,72850,353,105,51,0.4857,32471,40379,,,31.16,87.2,46140,Document is CDS 2020-2021 with costs for 2021-2022 academic year. Athletic aid shows as n/a in H2A section - not separately tracked. All key metrics found cleanly.
Whitman College,WA,West,2023-24,medium,coa_from_ipeds,6185,3092,0.4999,443,1290,1470,27,33,3.7,,"Not required for admission, but considered for some",,,78332,78332,298,145,145,1.0,16388.91,61943,0,,22.5,96.2,62120.72,"Cost of attendance data (G1) marked as not available (available by 3/1/2024). Class rank percentage (C10) not clearly visible in extracted text. H2A athletic aid shows zero awards, which is unusual but documented. All other key metrics extracted from sections C, H2, and H2A as specified."
Willamette University,OR,West,2022-23,high,,3995,3220,0.806,524,1240,1420,27,33,0.0396,41,Recommend,48226,48226,63606,63606,326,198,197,0.9949,24565,39041,0,0,26.69,89,34555,All key sections found. GPA average of 0.0396 appears to be a reporting error in CDS (should be ~3.7+ based on distribution shown). Athletic aid is $0 with 0 students.
Williams College,MA,Northeast,2023-24,high,,11465,1145,0.0999,541,1480,1550,33,35,3.99,91.6,"SAT and/or ACT Not required for admission, but considered",68560,68560,85820,85820,289,252,0,,0,,0,0,100.0,100.0,70763.56,All key fields located cleanly. Williams College is a private institution (same tuition for in-state and out-of-state). Non-need-based merit aid for non-athletes is zero (all merit aid appears to be tied to athletics). Institution has an all-grant financial aid program (no loans) as of Fall 2022.
Worcester Polytechnic Institute,MA,Northeast,2023-24,high,,11809,6908,0.585,1357,,,,,3.9,59.1,Test-blind,59070,59070,78328,78328,715,642,575,0.8956,19790,58538,0,,30.2,81.4,33058,"Test-blind institution with no SAT/ACT score data reported. Athletic awards not separately tracked ($0 reported in H1). All aid data from 2022-2023 final figures (H1 note). For private institution, in-state and out-of-state tuition are identical."
Yale University,CT,Northeast,2023-24,high,,51803,2332,0.045,1641,1500,1560,33,35,,96,Optional,67250,67250,87150,87150,842,799,6,0.0075,13667,73483,,,100,100,71577,Athletic aid reported as NA in CDS H2A section; Yale notes that athletic scholarships are included elsewhere. All key fields located cleanly.
Yeshiva University,NY,Northeast,2023-24,medium,coa_from_ipeds,1713,1092,0.6375,642,1330,1470,28,33,3.49,,Test Optional,,,71550,71550,348,294,251,0.8537,22398,49152,0,,35.06,91,34385,"Cost of attendance (tuition, fees, room & board) data not provided in CDS - all G1 fields blank/zero. Test policy marked as 'No' for SAT/ACT use in admissions. Class rank data not provided. Percent of top 10% and top quarter reported as 0 or blank, suggesting class rank information not collected."
